Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,ALL,AMGN,AMT,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2018-01-02,669098930096.6953,171383134185.8828,101206892257.91357,96827033728.0,80662397799.68262,43425181440.0,27355007559.783936,93694244114.07324,66718718731.98047,601259431844.6719,74123429818.53076,177921420768.0,237082211072.0,46483892416.56494,42826303409.556885,64637297770.617676,77694057677.82812,128992196152.84277,260452084169.01562,146181446766.46875,81645344077.451,50959098854.5957,62574314493.16406,169952268031.16406,38211146780.387695,66662207347.52051,82970598146.66748,100205117324.8291,157582561500.90234,93665105163.16406,236449188343.8955,46757039991.01611,68757429790.6289,199084325937.12305,,64950552316.22266,40039290846.65625,28049400583.958496,49202600198.97461,63046622620.23926,55838347598.14453,115097109331.6914,90046200700.32812,57328548493.91016,312799606910.75,85695117307.61719,191233330463.26758,98139870359.03809,134123286010.05176,193450987423.4287,362938639082.27344,314526056063.291,95994709292.01562,198541459794.52148,75770027792.4834,80175598737.95459,81547463424.0,54507949908.74072,142916751771.1172,126839230280.38184,58859157970.89453,109306489157.54688,38911365655.21509,393054798640.6094,130073223486.57227,127648214213.25684,137016920217.28516,88114998264.2959,640418715362.7773,79130895196.44727,87174491244.46289,78290358604.8584,120894155511.17578,129117345849.4336,165226360201.55762,194854243951.59375,216652676613.53906,164253796753.82617,82824728967.69531,71719316940.30762,117608434878.51562,66433880874.63379,52350102169.799805,56353110722.53418,210906305087.5078,30439880591.430664,73595566450.72705,76672975898.08691,65925595585.06348,95403514175.74805,205776696617.79785,82132014310.3711,87002595704.83594,82854328289.6748,185399468572.39844,223484108609.08203,63225692171.74219,229035506375.41992,267399013862.6953,338882590412.9004
2018-01-03,678418165893.1016,173870789614.58594,102580664362.60986,96505331738.98047,81648600000.0,42976455338.17163,26789875358.703613,94527792942.04395,65735367700.65039,609621682998.7969,73759237634.02588,178035725093.6953,238277580524.81055,48265666083.19092,42550104697.77246,66119817029.63867,76178452197.72852,128593029514.69434,258003026304.0,144740855960.6953,80995477186.2813,53312586964.865234,62308852986.328125,169494733696.0,37989698592.0,67013125864.643555,83675208605.71289,102172601486.20605,157786326935.39844,94524072664.64941,239740780759.8955,47044492938.53613,68063802921.59766,205004787871.10156,,64010355896.44531,40416482960.671875,27928803247.069702,49831386799.31641,64662817974.609375,54924812401.85547,119810977956.04688,92366272491.41016,58676961225.86719,319010910101.4453,84933813619.6289,189011433984.0,97552903251.84961,136588721827.64062,189655378001.6328,362159012156.3789,315198192554.8242,94902466498.02344,196725144180.26367,76391818064.10742,80441394025.89404,80782642170.48047,53763756016.0,143180001014.47656,126474183272.38184,57878624320.0,109359696624.71094,38352316681.62012,402345855711.59375,129681541080.5664,126130932937.01172,136145275350.3418,87346749215.40723,639898233346.4688,77947196330.22363,89819508790.23145,79075132045.45752,126031760300.1211,129008772965.73438,162443431058.6914,195229170885.89062,213847894560.51172,161987586268.34766,82897252838.47656,72655081359.86328,119070488950.80469,66410952349.853516,51303319168.09082,56274636795.77637,207720570602.15332,31676861532.287598,74139434461.99951,76660974434.36523,67827296736.53174,96102404721.13379,206335307293.9453,82985583555.48828,89981442078.72656,82777683456.0,186014387739.98438,224072664645.41016,64787350883.22656,229710907103.22656,266187223564.65234,344300199781.1953
2018-01-04,678457466044.0586,176552504564.9414,103467525952.0,97773226240.0,83451287640.38086,43729156384.84863,26879246081.51245,96515490064.0586,65917124189.32031,618189107712.0,74346398723.44336,179238913061.6953,238835418589.45898,49173201250.183105,42905215607.033936,67904086240.72266,77352593632.0,128151852928.0,263110692435.26953,146025718058.22656,81433879204.295,53717634104.0,62259080931.640625,168330112382.32812,38318051998.7959,68259486220.47949,85084416000.0,103244000000.0,159131088641.37598,96395835220.83594,240662422618.31836,47802326938.565186,69451056659.66016,206393525809.12305,,63825401055.055664,40862252288.0,27645045811.620117,50224376550.598145,65927118227.7832,55517374980.46875,120334748530.46484,93551251200.0,59900268254.35547,325890593944.2344,84850701619.6289,190891489615.07812,97495473172.0039,138594052511.41992,181521924694.6123,364991618322.10547,316659337514.8242,94779744377.04297,197027863449.30664,78036864256.05371,80954002327.93945,81342329118.77344,54021589083.09766,145295405942.47656,126481491342.36621,58178232978.89453,112353119088.71094,38934339350.13501,409026524456.5078,130746264000.0,126023821276.24512,136653733242.79785,88181804191.40723,643839033859.7031,76642089483.33545,91664351193.76855,78975480915.1416,133231803512.29102,130257340420.11523,162291884319.57617,196621762794.75,214083587962.46094,161801318012.7832,86277852631.08594,73724520339.96582,120293471308.66406,67626137924.194336,51128855334.47266,56075173916.19873,203832900860.0625,31030680349.42627,76044891218.5459,76660974434.36523,66109428368.916504,98462310702.61426,208867715470.45898,83430658283.07031,92054313412.61719,83835396195.01465,188118078720.0,220162952647.57422,63406878548.54883,232562587932.29004,268045289694.8086,350890246233.2988
2018-01-05,681996459637.7969,175264566907.29688,102667610536.69629,98788806587.88672,84859500000.0,43888382933.61621,26611135918.48755,96627694169.95605,65353209020.68945,624606985173.9609,74955856136.3042,178535040022.3711,242023090730.2168,49501764000.0,43283999573.47705,67225984049.74365,78454847177.08594,129979590225.81006,263241666432.0,147388437083.6172,82656235888.27678,53005412661.893555,62632384000.0,170160233856.20898,38783855804.387695,68586202983.041016,83945522394.28711,104958242080.68848,161168618625.37598,97831702507.16406,240700048853.47266,48671220553.670654,69738836822.40234,205900160951.8877,,63586500806.61035,41010843517.17578,27467698125.835327,51324756849.06006,66922470000.0,56507728107.91016,123477330386.09375,92515948402.7539,61860337152.0,327779836719.21875,85498974205.07812,191957189926.6172,98879970802.58203,141016092379.98926,185317534116.4082,365615327793.5156,319289402901.88477,95773805729.01172,199017166216.43555,79202107487.62402,81722911159.81836,82557940388.90625,55082213248.0,146856108132.39844,127036358784.0,58314415899.27637,112459554323.48438,39462754782.91992,410552913368.3047,131656519432.86133,125541866468.50586,138953898055.41992,88849850720.59277,651795062396.2969,76576333581.03516,92131120592.0,79349180969.5708,132262333361.64844,131424462680.60156,163132276050.6914,197210921385.70312,215120642527.48828,160295682180.0879,86032395079.69531,73568561019.89746,120550947732.6211,67924200000.0,51019816998.291016,54623346397.88818,205938720265.90723,30638351532.287598,77144198400.0,76241014748.45215,66901803344.916504,98661988769.25977,209659098353.02734,83924509725.11719,92641383469.05469,84969759615.33008,189315558086.78906,221970669637.41016,62035036017.322266,235489314877.06348,268314569579.46094,350728523328.0
2018-01-08,685574753382.4922,178687293907.76562,102337205788.17285,99268207328.90625,84836563600.15869,43758107168.42432,26768846717.407227,96435336120.94873,65553611211.98047,634092720082.3359,75067343424.0,185688001304.54297,240907399400.97266,49422157666.87012,43299782615.033936,67495967052.319336,78466830777.15234,129790513400.92578,263438107443.26953,146337190327.23438,84641928035.85712,53374323269.56738,62350333917.96875,169577923199.37305,38722765443.612305,68683005385.274414,83010486605.71289,105192000000.0,161046371800.7744,100408585449.39551,240493147610.73633,49219997864.59424,69820006163.66016,202629292336.2246,,63178056170.387695,41393747492.16797,27155565515.937744,51914243349.91455,67588551265.86914,56197731274.41406,122233388788.88672,92727995621.50781,61220883254.13281,330022556132.97656,84691128000.0,192751448692.23047,99530757009.81836,141207078893.80957,184650174742.6123,368240030802.10547,316045659307.06055,95503811444.9961,198714446947.39258,78878971679.94629,82292480768.1211,83310102084.29297,55304884415.51514,149093741046.96094,126846538350.36621,58695732232.381836,113750053632.0,39608262641.08008,414114476244.2539,132059246053.71094,125309802552.49023,138518075621.94824,88398920269.03711,655810176963.0859,76743266659.92334,93362501039.12402,79909733427.1416,136097003283.8789,131098754383.58398,162856731747.32715,196675320708.91406,214319281364.41016,161397754555.9121,87806369817.52344,73802500000.0,124311840320.54297,68187871475.21973,51139761663.81836,55247894675.354004,205992717383.4463,31016830591.430664,78066071335.45459,77344911395.54785,66770800798.75928,98525846206.74023,212396334706.0547,83820862695.58203,92851570341.89062,84571197124.01953,191937078983.20312,220961721014.26172,63113531057.322266,235114098612.09668,269957203584.0,350526361985.0039
2018-01-09,686361176403.2461,175529213106.58984,102771943292.17285,99981008768.0,85120962359.61914,43685732970.38379,26456054201.080322,96462054101.98535,66224714281.30078,644814858569.0625,74591669622.27832,186849073287.45703,240668334630.3789,47714199416.56494,43497066119.033936,68814868036.59668,79224631232.0,129979590225.81006,266306266110.76172,145539030570.22656,85786923361.3304,53704082904.70215,62698750958.984375,168579665025.67188,38581499081.97949,69542151516.16406,83759401045.71533,106166000000.0,162146639857.54883,99972699960.64941,241565251359.16406,48958677003.2124,71222009775.08203,201240540457.01074,,63216585244.22266,41388031270.99219,27347100788.946533,51796346799.31641,67865040000.0,56373306146.97266,120007395040.76953,93064785455.08203,61596216273.19922,332232617994.8672,84042855414.55078,193736716765.42383,98899117548.33887,142283525662.43262,186443706043.0205,369981175132.96875,317711363669.64844,96387425697.01172,198930672640.0,79481173888.32227,81827331771.84863,83320234368.0,55269726986.61279,150099726152.79688,127204277288.38184,58750207478.552734,114229002038.25781,39983513291.18994,417432701268.2539,132180614567.13867,126005967062.98828,137549586702.88086,88616036346.66699,659156181406.457,77674038022.14697,94291590084.44629,80009389309.31152,137220857864.82422,133677303424.0,162925620450.90332,195175612971.72656,215592047313.64062,162592943296.0,89368365452.76172,73122959320.06836,122592309824.29688,67866880874.63379,51466880831.90918,55231544277.46582,203184949085.2295,32087649650.57373,78976373112.0,79192743168.0,70819305419.71143,99497035726.86621,209258747205.68848,85241453106.04688,93663320438.76562,85153708385.6748,194137859214.40625,219111955143.57422,63915931630.38672,233763297156.4834,274750455382.92188,351496699416.7969
2018-01-10,680895455408.6953,175811505975.29297,102163313440.0,100264864596.5664,84955830079.65088,43888382933.61621,26498109478.271484,97600173238.04395,65437100459.98047,638786857837.7344,74613965945.72168,191000068105.21875,242023090730.2168,48429225249.938965,44152048797.261475,68531219745.36133,80043830498.17188,129244295914.65283,265860986496.0,147368965425.39062,85565141017.06506,53306562677.893555,62383511068.359375,168163733375.58203,38825854699.18359,70352889521.91797,82314741000.0,105854320297.24121,161576133949.24805,98921435791.2539,241339551349.0547,48997875132.41968,72328858287.08203,200929902808.3369,,62253270204.22266,40999411074.82422,26971123088.04602,51324756849.06006,66683682531.73828,56238880000.0,121709626532.64453,97418034346.29492,60942858206.35547,328834351561.9531,84774240000.0,193797037108.9629,99639217991.88281,141424100205.9082,180729440410.44922,373047697133.89453,319903081109.64844,96522422839.01953,199925324023.56445,79657429104.26855,81267264164.03027,83844469916.32031,55351763967.83838,149704852287.7578,126671311776.0,58232703030.02002,113816578191.28906,40197945155.48511,413539329391.7969,132952952000.0,124631492255.24902,136920066485.5957,90085728517.33301,653282137663.3828,76328461848.3706,92273376965.35547,79573401952.59912,134738505097.93945,132618743693.13281,162746514025.98145,194639990759.78906,214272149876.92188,163012032068.0879,87583231232.0,72944723739.62402,123327940824.72656,68784000000.0,50659983001.708984,53848381445.06836,201889059171.19922,32036881290.283203,78995660338.72705,78208833694.81738,70193860453.26562,99705792272.62988,209323926264.7705,85460943669.53516,93148732809.23438,85828196956.31543,192066539548.8125,216043044356.32812,63355112893.06445,234438697884.29004,268610783616.0,351739268352.0
2018-01-11,686518437007.3047,175317506915.52734,101989421091.82715,100233322921.13281,85909919920.34912,44322636404.55542,26500738559.783936,97707037009.00732,64313935104.0,646271817852.375,75394371289.11328,193791473003.39062,244334136312.32422,48924244833.49609,45438338086.22754,69435356000.0,79995914379.52344,130231698001.72705,269737588983.60352,147914067888.0703,86080904393.58728,52743413618.43262,62184416520.50781,171366457854.95508,39513103780.214355,70389189845.7539,82172930394.28711,106166000000.0,163572904628.30078,100011159294.23145,242486907567.79102,48605890338.325195,72675671721.59766,201459821472.0,,61274544710.61035,41650920762.48828,27113002754.265747,51167560198.97461,67488012000.0,56181267598.14453,125899732900.75781,98166442452.58984,60164389133.15625,330411704518.2031,85023576000.0,192711224902.6172,100245331844.82812,143064832868.45508,178518799556.9795,374554965283.03125,323409820095.52734,95749255686.95703,199925324023.56445,80347762655.94629,81798854739.90918,84042006940.9336,55398643520.16162,150522818615.20312,126715115634.5039,58123757732.72363,114335437273.03125,40802941518.91992,416769049512.5078,132809520310.4248,125506158041.99219,138735981998.90137,90419751781.92578,655289694946.7773,76131178704.0,95260686191.09082,79760249603.88672,138937507200.0,132645881737.01758,162071448876.88477,196246835860.45312,213070090150.05078,165029896721.82617,88643152281.52344,72632796600.3418,123907248844.11328,68233728524.78027,49776761663.81836,54034767000.0,198001389429.1084,32724604704.284668,79824958117.27295,76720968021.32178,70836208194.01025,99887327230.74023,208718746940.91797,85717014443.07031,94482325413.89062,86579324513.00488,192244544740.01562,218145039364.32812,63803763933.35547,238828802615.0332,268476133401.3047,349151763558.1992
2018-01-12,692770581022.6094,175264566907.29688,102528491351.30371,100611803776.0,86735581320.19043,44112747364.97974,26521767201.080322,97429184681.95605,63097562568.66992,653274529980.4453,74963290134.27832,198754623371.39062,246087343829.7832,48243955666.62598,45896034250.147705,70101641390.72266,82774016349.76172,131828340512.0,271453240428.11133,147758324327.3047,87674619208.1836,53814004314.80859,62018505452.14844,177064803968.41797,40059086499.612305,71865464561.91797,84242437504.76074,106390023269.65332,163898916887.39844,101177801464.37305,248637491146.9453,49370259110.89966,72786357698.74219,203415031880.1123,,60881510528.0,42291002368.0,27191035432.492676,51481953499.14551,68179230000.0,56658613745.11719,125179561877.96875,98964745701.50781,61373797295.55469,329755222002.6328,85023576000.0,196551783744.0,101176838801.3916,142387706422.54688,181229955963.0205,376789874655.41016,326273674027.06055,94927007176.98047,200141549716.17188,80323281312.21484,82131098849.8335,83915380444.9336,56260036293.71045,151839064832.0,126569099059.37402,58082903895.618164,114215695096.35547,41132244779.18994,393895426448.2031,134094917080.5664,125327656765.74707,140309782542.11426,91137899570.96289,659304866241.8516,75944014821.03516,96545409386.64453,80345716032.0,138073010924.1211,133487306054.5664,161120839424.42383,196193277946.28906,212245154252.10156,163865746769.82617,89256796160.0,73089540679.93164,124698038235.0586,69242561749.26758,49155233996.58203,53956288083.80127,196975471467.1377,34404682822.5708,80573257783.45459,76984949873.8086,71552514640.32422,100513603792.88184,211763225558.71582,85845054481.4414,96721893058.54688,87315125442.00977,194380594688.41406,218355235657.73828,65184242850.64453,237140300795.5166,270334199531.46094,352547852033.0039
2018-01-16,699533927001.5078,176887723981.41016,102406765380.86914,101084900032.0,89868503160.09521,44250259445.61621,26866102679.351807,99181776615.9414,62095572945.9707,678725484123.3281,75818018445.97412,204481791489.76172,252940817652.48633,48869242166.74805,46306384299.70459,71308262484.27734,84259662829.69531,129727490464.0,279114739625.0156,151379280426.22656,89175484652.72055,53029505214.5957,62167827945.3125,177147993471.79102,40471437696.0,72603601920.0,85239520504.76074,107967898513.79395,166669958909.24805,101062423463.62695,251421229839.79102,49494388271.066895,73701350892.33984,206612806824.1123,,60950866388.66797,41942386999.66406,27290348543.06067,52307236849.06006,68435606278.56445,57887637853.02734,119941922679.19531,99476163776.0,62694406992.44531,338729091189.1328,86187144000.0,198924481082.11523,101534126218.89648,143325263985.24023,181647049604.9795,380506039498.8633,325864555221.88477,95687899308.01562,199579366214.78516,80538705184.0,81571031242.01514,85181645404.9336,59477070688.0,153851049389.6797,126758919493.00781,57905861943.08545,113856488866.77344,40848891830.13501,401505227904.0,135325143283.56934,124667187062.98828,149510422433.47168,92941621377.18555,669937618913.543,76100828638.51758,99683874488.0166,80694502115.88672,138350884054.06055,135305855263.16797,161465261920.42383,195871908926.15625,212457272919.1797,162282508045.73828,90316717209.52344,73780223739.62402,126647454812.39062,69162314099.1211,49002574502.56348,54253848361.26709,199243282225.5996,35484731532.2876,81699562373.81836,76960946946.36523,71322199227.14941,103064116286.74023,217274933293.9453,86619369705.85938,97417686755.34375,88204221885.99023,196095903971.60156,217262205309.83594,65960754013.35547,235601891207.41992,272892389252.76562,354731064986.30273
