Date,META US Equit,AAPL US Equit,MSFT US Equit,CAT US Equity,BAC US Equity,IBE SM Equity,RACE IM Equit,NVDA US Equi,QQQ US Equity,ORGN US Equi
2022-12-30,120.34,129.93,239.82,239.56,33.12,11.70712,214.43422,146.14,266.28,4.61
2023-01-03,124.74,125.07,239.58,238.88,33.51,11.57423,214.92747,143.15,264.48,4.63
2023-01-04,127.37,126.36,229.1,241.36,34.14,11.78438,218.61028,147.49,265.74,4.92
2023-01-05,126.94,125.02,222.31,240.28,34.07,11.64091,216.8127,142.65,261.58,4.85
2023-01-06,130.02,129.62,224.93,248.86,34.41,11.60074,222.22781,148.59,268.8,5.02
2023-01-09,129.47,130.15,227.12,246.62,33.89,11.653,232.2,156.28,270.54,5.19
2023-01-10,132.99,130.73,228.85,250.51,34.12,11.58735,229.1709,159.09,272.83,5.26
2023-01-11,132.89,133.49,235.77,250.73,34.38,11.70886,233.10243,160.01,277.55,5.31
2023-01-12,136.71,133.41,238.51,255.07,34.47,11.90135,235.09782,165.11,279.05,5.54
2023-01-13,136.98,134.76,239.23,258.46,35.23,11.80252,235.61728,168.99,280.97,5.5
2023-01-17,135.36,135.94,240.35,256.26,34.52,11.75238,238.60567,177.02,281.54,5.5
2023-01-18,133.02,135.21,235.81,252.82,33.72,11.65968,240.42693,173.77,277.88,5.42
2023-01-19,136.15,135.27,231.93,245.75,33.23,11.68669,237.30304,167.65,275.15,5.33
2023-01-20,139.37,137.87,240.22,249.71,33.85,11.71694,241.38744,178.39,282.68,5.51
2023-01-23,143.27,141.11,242.58,252.7,34.32,11.74833,243.43983,191.93,288.96,5.55
2023-01-24,143.14,142.53,242.04,257.61,34.57,11.8037,243.14856,192.65,288.37,5.63
2023-01-25,141.5,141.86,240.61,258.44,34.87,11.84721,244.79153,193.23,287.73,5.58
2023-01-26,147.3,143.96,248,262.12,35.34,11.77766,247.17876,198.02,293.34,5.62
2023-01-27,151.74,145.93,248.16,264.54,35.45,11.73636,252.87509,203.65,296.26,5.93
2023-01-30,147.06,143,242.71,261.5,35.3,11.71035,252.33992,191.62,290.27,6
2023-01-31,148.97,144.29,247.81,252.29,35.48,11.67444,248.69984,195.37,294.62,6.05
2023-02-01,153.12,145.43,252.75,249.54,35.92,11.7261,250.884,209.43,300.92,5.96
2023-02-02,188.77,150.82,264.6,244.9,36.13,11.71627,269.23413,217.09,311.72,6.05
2023-02-03,186.53,154.5,258.35,247.76,36.43,11.62064,261.965,211,306.18,6.01
2023-02-06,186.06,151.73,256.77,251.42,36.37,11.4522,261.18295,210.89,303.59,5.95
2023-02-07,191.62,154.65,267.56,249.66,36.77,11.48737,264.50537,221.73,309.88,6.04
2023-02-08,183.43,151.92,266.73,248.87,36.5,11.42532,265.30344,222.05,304.37,5.8
2023-02-09,177.92,150.87,263.62,246.28,35.72,11.44769,268.93997,223.37,301.68,5.52
2023-02-10,174.15,151.01,263.1,247.67,35.58,11.32408,258.80569,212.65,299.7,5.29
2023-02-13,179.43,153.85,271.32,248.15,35.65,11.46826,263.76999,217.88,304.5,5.14
2023-02-14,179.48,153.2,272.17,244.36,35.62,11.5326,263.58698,229.71,306.75,5.15
2023-02-15,177.16,155.33,269.32,248.7,35.56,11.5897,265.50162,227.64,309.1,5.12
2023-02-16,172.44,153.71,262.15,246.52,35.28,11.58052,267.96658,220.02,303.3,4.93
2023-02-17,172.88,152.55,258.06,247.79,35.35,11.64011,265.9071,213.88,301.16,4.91
2023-02-21,172.08,148.48,252.67,240.71,34.52,11.68446,262.36722,206.55,294.03,4.7
2023-02-22,171.12,148.91,251.51,237.89,34.29,11.64829,260.91739,207.54,294.25,4.79
2023-02-23,172.04,149.4,254.77,237.95,34.26,11.54294,261.44949,236.64,296.82,4.84
2023-02-24,170.39,146.71,249.22,236.17,34.21,11.48568,258.19055,232.86,291.85,4.97
2023-02-27,169.54,147.92,250.16,239.98,34.21,11.56569,261.73868,235.01,293.94,4.8
2023-02-28,174.94,147.41,249.42,239.55,34.3,11.52342,260.16519,232.16,293.56,4.8
2023-03-01,173.42,145.31,246.27,248.67,34.14,11.31557,262.46564,226.98,291.2,4.75
2023-03-02,174.53,145.91,251.11,252.18,33.49,11.28886,262.91299,233.14,293.61,4.75
2023-03-03,185.25,151.03,255.29,255.31,34.16,11.37938,272.42499,238.9,299.68,4.79
2023-03-06,184.9,153.83,256.87,253.98,34.09,11.4009,273.21545,235.54,300.02,4.64
2023-03-07,184.51,151.6,254.15,246.14,33,11.26442,269.4585,232.88,296.34,4.42
2023-03-08,184.97,152.87,253.7,248.72,32.56,11.2937,268.79205,241.81,297.82,4.47
2023-03-09,181.69,150.59,252.32,240.96,30.54,11.32268,267.49234,234.36,292.66,4.25
2023-03-10,179.51,148.5,248.59,227.01,30.27,11.4265,265.01797,229.65,288.55,4.13
2023-03-13,180.9,150.47,253.92,224.7,28.51,11.46818,260.18173,229.66,290.69,4.05
2023-03-14,194.02,152.59,260.79,225.67,28.76,11.65604,262.9585,240.63,297.37,4.11
2023-03-15,197.75,152.99,265.44,217.26,28.49,11.48074,254.21255,242.28,298.93,3.99
2023-03-16,204.93,155.85,276.2,218.71,28.97,11.70416,262.68161,255.41,306.81,4.06
2023-03-17,195.61,155,279.43,215.01,27.82,11.65492,258.28659,257.25,305.36,3.94
2023-03-20,197.81,157.4,272.23,220.31,27.75,11.85725,261.36325,259,305.97,3.82
2023-03-21,202.16,159.28,273.78,224.92,28.59,11.9588,265.76315,261.99,310.34,3.95
2023-03-22,199.81,157.83,272.29,219.95,27.64,11.93387,267.716,264.68,306.12,3.89
2023-03-23,204.28,158.93,277.66,219.44,26.97,12.05372,269.22513,271.91,309.75,3.92
2023-03-24,206.01,160.25,280.57,217.01,27.14,11.91353,262.48517,267.79,310.89,3.96
2023-03-27,202.84,158.28,276.38,218,28.49,12.06973,266.53769,265.31,308.76,3.93
2023-03-28,200.68,157.65,275.23,220.16,28.12,12.19725,266.7132,264.1,307.12,3.87
2023-03-29,205.35,160.77,280.51,223,28.67,12.2573,268.20956,269.84,312.72,3.98
2023-03-30,207.84,162.36,284.05,224.54,28.3,12.43715,268.69919,273.83,315.68,4.13
2023-03-31,211.94,164.9,288.3,228.84,28.6,12.48305,270.96417,277.77,320.93,4.27
2023-04-03,213.07,166.17,287.23,229.87,28.59,12.3699,269.82941,279.65,320.15,4.15
2023-04-04,214.72,165.63,287.18,217.45,27.98,12.50581,271.78918,274.53,319.07,4.03
2023-04-05,211.48,163.76,284.34,213.53,27.64,12.75494,271.22632,268.81,315.92,3.86
2023-04-06,216.1,164.66,291.6,209.17,27.84,12.85838,272.14725,270.37,318.05,3.89
2023-04-10,214.75,162.03,289.39,215.53,27.94,12.85838,272.14725,275.79,317.87,4.08
2023-04-11,213.85,160.8,282.83,220.6,28.71,12.73548,274.43683,271.69,315.83,4.01
2023-04-12,214,160.1,283.49,220.5,28.48,12.93679,277.20917,264.95,313.04,3.94
2023-04-13,220.35,165.56,289.84,221.67,28.56,12.89682,282.14911,264.63,319.17,4.01
2023-04-14,221.49,165.21,286.14,223.68,29.52,12.58628,284.98889,267.58,318.57,3.95
2023-04-17,218.86,165.23,288.8,225.24,30.37,12.55426,278.80161,270.02,318.84,4.03
2023-04-18,217.89,166.47,288.37,225.2,30.56,12.63744,280.06409,276.67,318.86,4.37
2023-04-19,215.7,167.63,288.45,224.65,30.06,12.83022,279.08469,279.31,318.71,4.13
2023-04-20,213.07,166.65,286.11,222.27,29.9,12.96848,276.0394,271.04,316.28,4.04
2023-04-21,212.89,165.02,285.76,220.27,29.87,12.99365,276.78058,271.19,316.61,4.02
2023-04-24,212.79,165.33,281.77,223.43,29.76,13.04219,280.81531,270.42,315.95,3.98
2023-04-25,207.55,163.77,275.42,218.63,28.84,12.97514,278.91623,262.41,309.99,3.74
2023-04-26,209.4,163.76,295.37,216.19,28.44,13.07254,277.79156,269.56,311.87,3.81
2023-04-27,238.56,168.41,304.83,214.33,28.89,13.02365,276.65616,272.26,320.35,3.92
2023-04-28,240.32,169.68,307.26,218.8,29.28,12.99452,278.31213,277.49,322.56,3.95
2023-05-01,243.18,169.59,305.56,217.27,29.04,12.99452,278.31213,289.1,322.19,3.92
2023-05-02,239.24,168.54,305.41,215.15,28.16,12.9305,274.23001,282.1,319.38,3.89
2023-05-03,237.03,167.45,304.4,215.64,27.86,12.95813,279.59958,278.02,317.29,3.99
2023-05-04,233.52,165.79,305.41,210.38,26.99,13.05911,292.16251,275.62,316.17,4
2023-05-05,232.78,173.57,310.65,215.09,27.71,13.01776,297.31241,286.8,322.89,4.18
2023-05-08,233.27,173.5,308.65,214.79,27.69,13.01186,296.51602,291.51,323.69,4.24
2023-05-09,233.37,171.77,307,213.49,27.66,12.91595,295.67545,285.71,321.64,4.32
2023-05-10,233.08,173.555,312.31,213.17,27.32,12.91718,293.996,288.85,325.14,4.36
2023-05-11,235.79,173.75,310.11,210.03,27.39,12.85872,294.31949,285.78,326.2,4.65
2023-05-12,233.81,172.57,308.97,209.54,27.09,12.8759,295.60849,283.4,325.03,4.73
2023-05-15,238.86,172.07,309.46,211.29,27.65,12.88074,294.05936,289.53,326.79,4.7
2023-05-16,238.82,172.07,311.74,207.2,27.36,12.87196,294.27835,292.13,327.16,4.63
2023-05-17,242.485,172.69,314,212.1,28.57,12.64177,293.05927,301.78,331.12,4.68
2023-05-18,246.85,175.05,318.52,214.72,28.47,12.38283,294.47568,316.78,337.27,4.63
2023-05-19,245.64,175.16,318.34,214.78,28.11,12.58482,298.55139,312.64,336.51,4.32
2023-05-22,248.32,174.2,321.18,214.26,28.34,12.56122,301.38281,311.76,337.64,4.61
2023-05-23,246.74,171.56,315.26,212.71,28.58,12.53817,290.17065,306.88,333.36,4.55
2023-05-24,249.21,171.84,313.85,209.7,28.1,12.47696,285.57181,305.38,331.65,4.43
2023-05-25,252.69,172.99,325.92,209.98,28.17,12.19675,285.82285,379.8,339.72,4.36
2023-05-26,262.04,175.43,332.89,211.8,28.31,12.31728,291.26239,389.46,348.4,4.36
